angle_deg,pattern_1_dB,pattern_2_dB,pattern_3_dB
298.5,-1.061380668,-3.138434511,-16.64071272
299,-1.044876121,-3.08329093,-16.64676575
299.5,-1.028482295,-3.028758824,-16.64764392
300,-1.012199867,-2.974833026,-16.64317633
300.5,-0.9960295065,-2.921508475,-16.63320681
301,-0.979971873,-2.868780216,-16.61759515
301.5,-0.9640276171,-2.816643391,-16.59621819
302,-0.9481973807,-2.765093242,-16.56897083
302.5,-0.9324817969,-2.714125107,-16.53576689
303,-0.9168814898,-2.663734415,-16.4965398
303.5,-0.9013970751,-2.613916691,-16.45124318
304,-0.8860291596,-2.564667546,-16.39985117
304.5,-0.870778342,-2.515982678,-16.34235867
305,-0.8556452122,-2.467857871,-16.2787813
305.5,-0.840630352,-2.420288994,-16.20915527
306,-0.8257343349,-2.373271996,-16.13353702
306.5,-0.8109577263,-2.326802903,-16.05200265
307,-0.7963010833,-2.280877824,-15.96464729
307.5,-0.7817649552,-2.23549294,-15.87158423
308,-0.7673498832,-2.190644508,-15.77294393
308.5,-0.7530564008,-2.146328859,-15.66887293
309,-0.7388850337,-2.102542393,-15.55953266
309.5,-0.7248362998,-2.059281581,-15.44509814
310,-0.7109107095,-2.016542963,-15.32575665
310.5,-0.6971087655,-1.974323145,-15.20170634
311,-0.6834309632,-1.932618799,-15.07315481
311.5,-0.6698777904,-1.89142666,-14.94031769
312,-0.6564497279,-1.850743528,-14.80341728
312.5,-0.643147249,-1.810566263,-14.66268111
313,-0.6299708198,-1.770891786,-14.51834066
313.5,-0.6169208994,-1.731717077,-14.37063006
314,-0.6039979399,-1.693039175,-14.21978488
314.5,-0.5912023863,-1.654855174,-14.06604099
315,-0.5785346768,-1.617162225,-13.90963353
315.5,-0.5659952428,-1.579957535,-13.46961837
316,-0.5535845088,-1.543238361,-13.04615803
316.5,-0.5413028928,-1.507002017,-12.63806188
317,-0.5291508061,-1.471245867,-12.24427559
317.5,-0.5171286533,-1.435967324,-11.86386122
318,-0.5052368326,-1.401163854,-11.49598074
318.5,-0.4934757359,-1.36683297,-11.13988242
319,-0.4818457486,-1.332972233,-10.79488944
319.5,-0.4703472498,-1.299579252,-10.46039035
320,-0.4589806124,-1.266651683,-10.1358309
320.5,-0.4477462031,-1.234187227,-9.82070726
321,-0.4366443824,-1.202183629,-9.514560065
321.5,-0.4256755049,-1.170638678,-9.216969413
322,-0.414839919,-1.139550208,-8.927550497
322.5,-0.4041379673,-1.108916095,-8.645949845
323,-0.3935699866,-1.078734256,-8.371842038
323.5,-0.3831363075,-1.049002651,-8.104926856
324,-0.3728372553,-1.019719278,-7.844926771
324.5,-0.3626731492,-0.9908821762,-7.591584745
325,-0.3526443029,-0.9624894254,-7.344662293
325.5,-0.3427510245,-0.9345391423,-7.103937762
326,-0.3329936165,-0.9070294825,-6.869204816
326.5,-0.3233723758,-0.8799586389,-6.640271073
327,-0.3138875941,-0.8533248413,-6.416956907
327.5,-0.3045395573,-0.8271263561,-6.199094361
328,-0.2953285464,-0.8013614855,-5.986526186
328.5,-0.2862548367,-0.7760285669,-5.779104968
329,-0.2773186984,-0.7511259728,-5.57669235
329.5,-0.2685203964,-0.7266521099,-5.379158322
330,-0.2598601907,-0.7026054188,-5.186380589
330.5,-0.2513383359,-0.6789843737,-4.998243989
331,-0.2429550815,-0.6557874815,-4.814639971
331.5,-0.2347106722,-0.6330132818,-4.635466121
332,-0.2266053475,-0.6106603462,-4.460625726
332.5,-0.2186393421,-0.5887272782,-4.29002738
333,-0.2108128856,-0.5672127124,-4.123584621
333.5,-0.2031262029,-0.5461153144,-3.961215607
334,-0.1955795141,-0.5254337801,-3.802842805
334.5,-0.1881730343,-0.5051668359,-3.648392721
335,-0.180906974,-0.4853132377,-3.49779564
335.5,-0.1737815391,-0.465871771,-3.350985397
336,-0.1667969305,-0.4468412504,-3.207899155
336.5,-0.1599533449,-0.428220519,-3.068477212
337,-0.153250974,-0.4100084486,-2.932662813
337.5,-0.1466900051,-0.3922039393,-2.800401983
338,-0.140270621,-0.3748059186,-2.671643371
338.5,-0.1339929999,-0.3578133418,-2.5463381
339,-0.1278573157,-0.3412251914,-2.424439638
339.5,-0.1218637376,-0.325040477,-2.30590367
340,-0.1160124307,-0.3092582348,-2.190687983
340.5,-0.1103035554,-0.2938775274,-2.078752359
341,-0.1047372681,-0.2788974437,-1.970058473
341.5,-0.09931372063,-0.2643170986,-1.864569803
342,-0.09403306061,-0.2501356326,-1.762251539
342.5,-0.0888954314,-0.2363522118,-1.663070507
343,-0.08390097213,-0.2229660276,-1.56699509
343.5,-0.07904981772,-0.2099762964,-1.473995159
344,-0.07434209889,-0.1973822595,-1.384042009
344.5,-0.06977794222,-0.1851831828,-1.297108295
345,-0.06535747013,-0.1733783568,-1.213167978
345.5,-0.06108080095,-0.1619670962,-1.132196268
346,-0.05694804891,-0.15094874,-1.054169579
346.5,-0.05295932417,-0.1403226508,-0.9790654782
347,-0.04911473283,-0.1300882152,-0.9068626431
347.5,-0.04541437697,-0.1202448436,-0.8375408231
348,-0.04185835466,-0.1107919695,-0.7710807999
348.5,-0.03844675997,-0.1017290499,-0.7074643524
349,-0.035179683,-0.09305556523,-0.6466742235
349.5,-0.0320572099,-0.0847710186,-0.5886940893
350,-0.02907942286,-0.07687493628,-0.5335085302
350.5,-0.02624640017,-0.06936686729,-0.4811030042
351,-0.02355821617,-0.06224638338,-0.4314638219
351.5,-0.02101494134,-0.05551307889,-0.3845781231
352,-0.01861664226,-0.04916657067,-0.3404338553
352.5,-0.01636338163,-0.04320649794,-0.2990197539
353,-0.01425521831,-0.03763252225,-0.2603253236
353.5,-0.0122922073,-0.03244432739,-0.2243408212
354,-0.01047439975,-0.02764161927,-0.1910572401
354.5,-0.008801843004,-0.02322412589,-0.160466296
355,-0.007274580574,-0.01919159725,-0.1325604134
355.5,-0.005892652161,-0.0155438053,-0.1073327145
356,-0.004656093666,-0.01228054388,-0.08477700741
356.5,-0.003564937189,-0.009401628673,-0.06488777755
357,-0.002619211041,-0.006906897133,-0.04766017856
357.5,-0.001818939748,-0.004796208485,-0.03309002507
358,-0.001164144052,-0.003069443664,-0.02117378627
358.5,-0.0006548409217,-0.001726505296,-0.0119085806
359,-0.0002910435499,-0.0007673176682,-0.005292171321
359.5,-7.276135848e-05,-0.0001918267144,-0.001322963187
360,0,0,0
